date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2025-01-01 00:00:00,9.3,5.1,12.5,9,,,30.9,75,1008.5,4
2025-01-02 00:00:00,2.6,-0.6,6.1,8.9,,,8.7,22,1018.5,276
2025-01-03 00:00:00,1.1,-2.9,5.5,0,,,10.7,25,1023.9,263
2025-01-04 00:00:00,0.7,-2.3,3.6,0,,,9.3,36,1014.9,0
2025-01-05 00:00:00,8,0.4,13.4,14.5,,,19.8,56,988,3
2025-01-06 00:00:00,6.9,2.6,12.7,14.5,,,25.9,61,982.8,103
2025-01-07 00:00:00,2.7,0.9,6.1,3.6,,,15.3,41,999.2,182
2025-01-08 00:00:00,0.9,-1.7,3.7,0.5,,,7.7,23,1001.7,6
2025-01-09 00:00:00,1.6,-0.5,4,0.5,,,11.4,29,1008.6,241
2025-01-10 00:00:00,-1.3,-4.3,2.1,0,,,4.5,16,1020.3,122
2025-01-11 00:00:00,-1,-5.5,5.2,0.3,,,3.3,11,1030.4,259
2025-01-12 00:00:00,0.3,-4,4.2,0,,,3.9,15,1039.9,19
2025-01-13 00:00:00,4.4,3,6.5,0,,,12.9,37,1039.3,124
2025-01-14 00:00:00,6.3,2.6,9.7,0,,,10.1,25,1035.2,32
2025-01-15 00:00:00,8.6,6.2,9.5,0.6,,,6.5,18,1034.4,33
2025-01-16 00:00:00,7.4,5.7,9.2,0,,,9.3,23,1034.6,47
2025-01-17 00:00:00,5.2,3.7,6.2,0,,,10.2,26,1035.6,140
2025-01-18 00:00:00,2.7,2.1,3.5,0,,,6.9,19,1029.7,112
2025-01-19 00:00:00,2.9,2.1,3.5,0,,,10.2,22,1021.1,3
2025-01-20 00:00:00,4.2,2.4,6.2,0.2,,,6.4,25,1018.3,12
2025-01-21 00:00:00,3.5,1.7,6.2,0,,,7.2,25,1013.8,55
2025-01-22 00:00:00,3.6,2.2,5,0.2,,,7,20,1004.7,5
2025-01-23 00:00:00,4.8,1,8.3,0,,,16.9,53,1002.7,46
2025-01-24 00:00:00,9.2,6.5,11.6,3.4,,,26.4,78,996,89
2025-01-25 00:00:00,5.6,0.9,8.7,0.8,,,9.6,29,1004.5,163
2025-01-26 00:00:00,5,-1.3,9.9,0,,,21.4,69,995,4
2025-01-27 00:00:00,7.7,6.1,10.1,13.7,,,28.5,78,980.9,65
2025-01-28 00:00:00,8.7,6,10,6.6,,,25,49,983.6,42
2025-01-29 00:00:00,6.1,4.4,8.1,0,,,11,35,1003,65
2025-01-30 00:00:00,5.1,1.6,8.2,0,,,11,32,1019.8,349
2025-01-31 00:00:00,6,2.7,8.7,5.6,,,8.9,27,1024.8,36
2025-02-01 00:00:00,4.8,1.2,5.7,0,,,10.6,24,1028.8,14
2025-02-02 00:00:00,3.6,-1,8.7,0,,,9.8,22,1023.1,328
2025-02-03 00:00:00,4.7,-1,8.5,0.3,,,10.8,26,1024.7,26
