date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01 00:00:00,8.3,6.7,10.9,1.5,,,22.8,50,999.4,65
2024-01-02 00:00:00,11.5,8.6,13.7,8.4,,,31,112,985.8,4
2024-01-03 00:00:00,9.8,8.4,11.7,5.1,,,22.5,46,991,96
2024-01-04 00:00:00,7.4,5.2,10,1.3,,,15.3,40,999.1,59
2024-01-05 00:00:00,6.5,4.9,7.7,20.1,,,14.3,48,1001.9,28
2024-01-06 00:00:00,6,4.7,7.4,0.3,,,7.7,25,1016.5,76
2024-01-07 00:00:00,3.4,2.7,5.7,0.3,,,13.8,41,1027.3,142
2024-01-08 00:00:00,2.6,1.6,3.8,0,,,17,47,1031.9,76
2024-01-09 00:00:00,2.4,1.5,4.4,0.3,,,19.6,53,1030.8,195
2024-01-10 00:00:00,2.3,-0.3,5.6,0,,,17.4,43,1029.6,298
2024-01-11 00:00:00,2.4,-0.6,5.5,0,,,10.8,37,1036.6,228
2024-01-12 00:00:00,4.9,4.2,5.8,0,,,11.8,35,1036,5
2024-01-13 00:00:00,3.1,0.9,5,0,,,9,23,1025.8,110
2024-01-14 00:00:00,4.2,2.5,7,0,,,12.3,30,1013.7,76
2024-01-15 00:00:00,0.3,-2.2,5.3,0,,,10.1,35,1011.6,368
2024-01-16 00:00:00,-0.6,-5.4,5.5,0,,,7.8,29,1008.2,279
2024-01-17 00:00:00,0.3,-1.5,2.7,0,,,8.1,30,993.7,3
2024-01-18 00:00:00,-1.3,-5.3,3.4,0,,,9.6,25,1007.3,358
2024-01-19 00:00:00,0.3,-4.1,6.1,0,,,11.2,30,1022.2,360
2024-01-20 00:00:00,3.6,-0.4,6.5,0,,,17.5,41,1023.2,55
2024-01-21 00:00:00,9.3,3.6,12.6,1,,,33.5,91,1010,31
2024-01-22 00:00:00,9.9,7.2,13,10.4,,,36,77,1008,228
2024-01-23 00:00:00,9.4,3.8,13.4,0,,,24.8,65,1018.6,0
2024-01-24 00:00:00,10.7,6.7,13.7,1.5,,,27.8,82,1023.4,122
2024-01-25 00:00:00,9.7,3.4,13.6,0,,,15,42,1025.1,6
2024-01-26 00:00:00,8.7,2.4,12.6,2,,,21,66,1027.3,387
2024-01-27 00:00:00,4.3,0,8.9,0,,,10,30,1033,76
2024-01-28 00:00:00,6.2,1,12.2,0,,,12.7,28,1023,111
